Date;MeanTemp;Max;Min
26.07.2019;20.6;21.2;19.8
25.07.2019;20.3;21.2;19.6
24.07.2019;20.1;20.9;19.2
23.07.2019;19.9;20.7;19
22.07.2019;19.4;20.3;18.2
21.07.2019;18.7;19.4;17.8
20.07.2019;18.6;19.6;17.3
19.07.2019;18.7;19.9;17.7
18.07.2019;18.8;20;17.4
17.07.2019;18.4;19.8;16.9
16.07.2019;18.1;19.1;16.8
15.07.2019;17.2;18.4;15.9
14.07.2019;15.9;16.5;15.3
13.07.2019;16.2;16.7;15.8
12.07.2019;17;17.5;16
11.07.2019;17.4;18.1;16.3
10.07.2019;17.3;18.3;16
09.07.2019;17;18;15.8
08.07.2019;17.2;17.8;16.5
07.07.2019;17.9;18.7;17.3
06.07.2019;18.5;19.3;17.5
05.07.2019;18.9;19.9;17.4
04.07.2019;18.4;19.8;17.1
03.07.2019;18.6;19.4;17.3
02.07.2019;18.9;19.9;17.7
01.07.2019;19.4;20.2;18.3
30.06.2019;18.3;19.7;16.6
29.06.2019;18.1;18.9;17.2
28.06.2019;18.6;19.6;17.2
27.06.2019;18.4;19.9;16.5
26.06.2019;18.1;19.7;16.1
25.06.2019;17.3;19.1;15.5
24.06.2019;16.4;17.8;14.9
23.06.2019;15.1;15.6;14.7
22.06.2019;15.6;16.2;15
21.06.2019;15.9;17;14.6
20.06.2019;16.1;16.7;15.4
19.06.2019;16.8;18.1;15
18.06.2019;16.2;17.5;14.6
17.06.2019;14.9;16.8;13.4
16.06.2019;14.8;15.3;14.1
15.06.2019;15.3;16;14.5
14.06.2019;15.1;16.2;13.8
13.06.2019;14.4;15.5;13.4
12.06.2019;14.9;15.4;13.8
11.06.2019;14.8;15.9;13.7
10.06.2019;14.2;15.3;13.4
09.06.2019;13.5;14.7;12.4
08.06.2019;13.8;14.4;13.5
07.06.2019;13.3;14.9;11.6
06.06.2019;13.4;14;12.1
05.06.2019;14;14.9;13
04.06.2019;13.6;14.6;12.8
03.06.2019;12.9;13.7;12.3
02.06.2019;12.2;13.2;11.5
01.06.2019;11.3;12.4;10.4
31.05.2019;10.6;11.3;10.2
30.05.2019;10.1;10.7;9.6
29.05.2019;10.4;10.9;9.9
28.05.2019;10.5;10.8;10
27.05.2019;10.9;11.3;10.3
26.05.2019;10.8;11.4;10.3
25.05.2019;10.6;11.3;10.2
24.05.2019;10.5;11.8;9.5
23.05.2019;9.9;10.8;9
22.05.2019;9.3;9.6;9.1
21.05.2019;9.6;9.8;9.3
20.05.2019;11.6;12.3;9.8
19.05.2019;11.6;12.7;10.4
18.05.2019;10.8;11.7;9.8
17.05.2019;10.2;11.6;8.7
16.05.2019;8.8;9.4;8.1
15.05.2019;8.6;8.9;8.4
14.05.2019;9;9.5;8.5
13.05.2019;8.5;9.2;7.8
12.05.2019;8.9;9.5;7.9
11.05.2019;10;10.6;9.6
10.05.2019;10.2;11;9.4
09.05.2019;9.9;10.8;8.9
08.05.2019;9.7;10.5;8.8
07.05.2019;9;10.2;7.8
06.05.2019;8.2;8.6;7.6
05.05.2019;8.9;9.5;8.4
04.05.2019;9.5;9.9;9.1
03.05.2019;10.6;11.3;9.7
02.05.2019;10.9;12.3;9.5
01.05.2019;9.2;10.7;8
30.04.2019;8.8;9.2;8.4
29.04.2019;8.8;9.3;8.4
28.04.2019;9.6;10.1;9.1
27.04.2019;9.5;10.3;9
26.04.2019;10.6;11.8;9.7
25.04.2019;11.8;12.7;10.5
24.04.2019;11.7;12.9;10.3
23.04.2019;11.8;12.7;10.5
22.04.2019;11;12.1;9.6
21.04.2019;10.8;11.7;9.4
20.04.2019;10.5;11.6;9.2
19.04.2019;10.1;11.2;8.8
18.04.2019;10.1;11.1;8.8
17.04.2019;9.9;10.6;8.8
16.04.2019;9.1;10.1;8.1
15.04.2019;8;9.1;7.1
14.04.2019;7.5;7.8;7
13.04.2019;7.4;8;6.8
12.04.2019;7.2;7.5;6.9
11.04.2019;7.5;7.7;7.3
10.04.2019;8;8.3;7.5
09.04.2019;7.9;8.6;7.4
08.04.2019;8.4;9;7.7
07.04.2019;8.4;9.2;7.5
06.04.2019;7.6;8.5;6.7
05.04.2019;7.4;8.1;7.1
04.04.2019;8.4;9.1;7.7
03.04.2019;8.7;9.4;7.9
02.04.2019;8;8.7;7.1
01.04.2019;8;8.8;7.1
31.03.2019;7.7;8.6;6.8
30.03.2019;7.4;8.1;6.4
29.03.2019;7.2;7.8;6.6
28.03.2019;6.7;7.5;6
27.03.2019;6.2;6.6;5.9
26.03.2019;6;6.4;5.7
25.03.2019;7.4;8.1;6.5
24.03.2019;7.1;7.8;6.3
23.03.2019;6.8;7.4;6
22.03.2019;6.3;7;5.4
21.03.2019;5.8;6.3;5.2
20.03.2019;5.5;6;5.2
19.03.2019;5.4;5.7;5
18.03.2019;6;6.5;5.3
17.03.2019;6.1;6.6;5.5
16.03.2019;6.1;6.8;5.5
15.03.2019;5.3;5.7;5
14.03.2019;5.4;5.8;5.2
13.03.2019;5.8;6.3;5.3
12.03.2019;4.9;5.8;4.3
11.03.2019;5.4;6.1;4.7
10.03.2019;6.1;6.6;5.7
09.03.2019;5.4;6;5
08.03.2019;5.3;5.5;5.1
07.03.2019;5.6;5.8;5.3
06.03.2019;5.5;5.9;5.2
05.03.2019;5.3;5.5;5
04.03.2019;5.7;6.1;5.3
03.03.2019;5.4;6;5
02.03.2019;4.9;5.1;4.8
01.03.2019;5.5;6;5.1
28.02.2019;5.5;6.4;4.9
27.02.2019;5.5;6.1;4.8
26.02.2019;5;5.6;4.4
25.02.2019;4.4;5.4;3.7
24.02.2019;4.1;4.5;3.8
23.02.2019;4.5;5.3;3.9
22.02.2019;5.4;5.7;5.1
21.02.2019;5.3;5.8;4.7
20.02.2019;5;5.6;4.5
19.02.2019;4.3;4.8;3.9
18.02.2019;4.3;4.6;4.1
17.02.2019;4.3;4.5;4.1
16.02.2019;4.1;4.8;3.6
15.02.2019;4;4.5;3.5
14.02.2019;3.9;4.2;3.6
13.02.2019;3.7;4;3.3
12.02.2019;3.8;3.9;3.7
11.02.2019;4.4;5.3;3.9
10.02.2019;4.6;4.8;4.4
09.02.2019;4.2;4.5;4
08.02.2019;3.9;4.2;3.6
07.02.2019;3.2;3.6;2.9
06.02.2019;3.4;3.6;3
05.02.2019;3.7;4.4;3.1
04.02.2019;3.1;3.4;2.8
03.02.2019;3.7;4.4;3
02.02.2019;3.9;4.2;3.5
01.02.2019;3.5;4;3
31.01.2019;3.5;3.9;3
30.01.2019;3.7;4;3.2
29.01.2019;4.3;4.7;3.8
28.01.2019;4.3;4.6;3.9
27.01.2019;3.6;4;3.5
26.01.2019;3.2;3.6;2.9
25.01.2019;3.6;3.8;3.4
24.01.2019;3.7;4.1;3.4
23.01.2019;3.8;4;3.6
22.01.2019;3.8;4.2;3.5
21.01.2019;3.5;4.5;3.1
20.01.2019;2.9;3.2;2.5
19.01.2019;3.6;4.4;3.3
18.01.2019;4.5;4.7;4.2
17.01.2019;4.1;4.8;3.7
16.01.2019;4.2;4.3;4
15.01.2019;3.9;4.3;3.6
14.01.2019;4.3;4.8;3.7
13.01.2019;4.3;4.7;4
12.01.2019;3.9;4.3;3.6
11.01.2019;3.3;3.9;2.6
10.01.2019;3;3.5;2.6
09.01.2019;4.1;4.5;3.5
08.01.2019;4.3;4.6;4.1
07.01.2019;3.9;4.5;3.2
06.01.2019;3.1;3.5;3
05.01.2019;3.7;4;3.3
04.01.2019;4.1;4.6;3.7
03.01.2019;4;4.6;3.7
02.01.2019;4.9;5.2;4.6
01.01.2019;5.1;5.4;4.9
31.12.2018;5;5.1;4.9
30.12.2018;4.7;5.3;4.4
29.12.2018;4.6;4.8;4.3
28.12.2018;4.5;4.8;4.2
27.12.2018;4.4;4.8;4.2
26.12.2018;5;5.3;4.8
25.12.2018;5.4;5.9;5.2
24.12.2018;6.4;6.8;5.9
23.12.2018;6.3;6.7;6.1
22.12.2018;6.2;6.5;5.7
21.12.2018;5.3;5.9;5
20.12.2018;5;5.6;4.8
19.12.2018;5.1;5.7;4.6
18.12.2018;5.3;6.1;4.4
17.12.2018;4.9;5.9;3.8
16.12.2018;3.9;4.2;3.8
15.12.2018;4.5;5;4.2
14.12.2018;5.7;6.4;4.8
13.12.2018;6.1;6.5;5.6
12.12.2018;6;6.4;5.7
11.12.2018;6.3;6.5;5.8
10.12.2018;6.8;7.3;6.3
09.12.2018;7.1;7.2;7
08.12.2018;7.7;8.3;7.1
07.12.2018;8;8.4;7.8
06.12.2018;7.4;7.8;7.1
05.12.2018;7.7;7.9;7.3
04.12.2018;8.1;8.3;7.9
03.12.2018;7.8;8.2;7.3
02.12.2018;7.2;7.3;7
01.12.2018;7.1;7.8;6.7
30.11.2018;6.5;7;6.1
29.11.2018;6.6;7.1;6.2
28.11.2018;6.8;7.2;6.7
27.11.2018;7.6;8.3;7
26.11.2018;7.8;8.4;7.3
25.11.2018;7.4;7.7;7.2
24.11.2018;7.3;7.5;7
23.11.2018;7.8;8.3;7.1
22.11.2018;7.7;8.6;6.7
21.11.2018;7;7.3;6.7
20.11.2018;7;7.3;6.6
19.11.2018;7.1;7.9;6.8
18.11.2018;7.5;8;7.4
17.11.2018;8.3;8.6;8
16.11.2018;9.2;10.1;8.6
15.11.2018;9.8;10.8;9.2
14.11.2018;9.7;10.6;9
13.11.2018;10.1;11;9.4
12.11.2018;10.4;11.5;9.6
11.11.2018;10.2;10.6;10
10.11.2018;10.4;11;10.3
09.11.2018;10.8;11.5;10.2
08.11.2018;10.7;11.3;10.2
07.11.2018;10.7;11.5;10.2
06.11.2018;10.4;11.1;10.1
05.11.2018;10.9;12;10.5
04.11.2018;10.6;10.8;10.4
03.11.2018;10.1;10.4;9.6
02.11.2018;9.6;9.8;9.3
01.11.2018;9.5;10.3;9.3
